,0
426,positive
427,negative
428,positive
429,negative
430,positive
431,negative
432,positive
433,negative
434,positive
435,negative
436,positive
437,negative
438,positive
439,negative
440,positive
441,negative
442,positive
443,negative
444,positive
445,negative
446,positive
447,negative
448,positive
449,negative
450,positive
451,negative
452,positive
453,negative
454,positive
455,negative
456,positive
457,negative
458,positive
459,negative
460,positive
461,negative
462,positive
463,negative
464,positive
465,negative
466,positive
467,negative
468,positive
469,negative
470,positive
471,negative
472,positive
473,negative
474,positive
475,negative
476,positive
477,negative
478,positive
479,negative
480,positive
481,negative
482,positive
483,negative
484,positive
485,negative
486,positive
487,negative
488,positive
489,negative
490,positive
491,negative
492,positive
493,negative
494,positive
495,negative
496,positive
497,negative
498,positive
499,negative
500,positive
501,negative
502,positive
503,negative
504,positive
505,negative
506,positive
507,negative
508,positive
509,negative
510,positive
511,negative
512,positive
513,negative
514,positive
515,negative
516,positive
517,negative
518,positive
519,negative
520,positive
521,negative
522,positive
523,negative
524,positive
525,negative
526,positive
527,negative
528,positive
529,negative
530,positive
531,negative
532,positive
533,negative
534,positive
535,negative
536,positive
537,negative
538,positive
539,negative
540,positive
541,negative
542,positive
543,negative
544,positive
545,negative
546,positive
547,negative
548,positive
549,negative
550,positive
551,negative
552,positive
553,negative
554,positive
555,negative
556,positive
557,negative
558,positive
559,negative
560,positive
561,negative
562,positive
563,negative
564,positive
565,negative
566,positive
567,negative
568,positive
569,negative
570,positive
571,negative
572,positive
573,negative
574,positive
575,negative
576,positive
577,negative
578,positive
579,negative
580,positive
581,negative
582,positive
583,negative
584,positive
585,negative
586,positive
587,negative
588,positive
589,negative
590,positive
591,negative
592,positive
593,negative
594,positive
595,negative
596,positive
597,negative
598,positive
599,negative
600,positive
601,negative
602,positive
603,negative
604,positive
605,negative
606,positive
607,negative
608,positive
609,negative
610,positive
611,negative
612,positive
613,negative
614,positive
615,negative
616,positive
617,negative
618,positive
619,negative
620,positive
621,negative
622,positive
623,negative
624,positive
625,negative
626,positive
627,negative
628,positive
629,negative
630,positive
631,negative
632,positive
633,negative
634,positive
635,negative
636,positive
637,negative
638,positive
639,negative
640,positive
641,negative
642,positive
643,negative
644,positive
645,negative
646,positive
647,negative
648,positive
649,negative
650,positive
651,negative
652,positive
653,negative
654,positive
655,negative
656,positive
657,negative
658,positive
659,negative
660,positive
661,negative
662,positive
663,negative
664,positive
665,negative
666,positive
667,negative
668,positive
669,negative
670,positive
671,negative
672,positive
673,negative
674,positive
675,negative
676,positive
677,negative
678,positive
679,negative
680,positive
681,negative
682,positive
683,negative
684,positive
685,negative
686,positive
687,negative
688,positive
689,negative
690,positive
691,negative
692,positive
693,negative
694,positive
695,negative
696,positive
697,negative
698,positive
699,negative
700,positive
701,negative
702,positive
703,negative
704,positive
705,negative
706,positive
707,negative
708,positive
709,negative
710,positive
711,negative
712,positive
713,negative
714,positive
715,negative
716,positive
717,negative
718,positive
719,negative
720,positive
721,negative
722,positive
723,negative
724,positive
725,negative
726,positive
727,negative
728,positive
729,negative
730,positive
731,negative
732,positive
733,negative
734,positive
735,negative
736,positive
737,negative
738,positive
739,negative
740,positive
741,negative
742,positive
743,negative
744,positive
745,negative
746,positive
747,negative
748,positive
749,negative
750,positive
751,negative
752,positive
753,negative
754,positive
755,negative
756,positive
757,negative
758,positive
759,negative
760,positive
761,negative
762,positive
763,negative
764,positive
765,negative
766,positive
767,negative
768,positive
769,negative
770,positive
771,negative
772,positive
773,negative
774,positive
775,negative
776,positive
777,negative
778,positive
779,negative
780,positive
781,negative
782,positive
783,negative
784,positive
785,negative
786,positive
787,negative
788,positive
789,negative
790,positive
791,negative
792,positive
793,negative
794,positive
795,negative
796,positive
797,negative
798,positive
799,negative
800,positive
801,negative
802,positive
803,negative
804,positive
805,negative
806,positive
807,negative
808,positive
809,negative
810,positive
811,negative
812,positive
813,negative
814,positive
815,negative
816,positive
817,negative
818,positive
819,negative
820,positive
821,negative
822,positive
823,negative
824,positive
825,negative
826,positive
827,negative
828,positive
829,negative
830,positive
831,negative
832,positive
833,negative
834,positive
835,negative
836,positive
837,negative
838,positive
839,negative
840,positive
841,negative
842,positive
843,negative
844,positive
845,negative
846,positive
847,negative
848,positive
849,negative
850,positive
851,negative
852,positive
853,negative
854,positive
855,negative
856,positive
857,negative
858,positive
859,negative
860,positive
861,negative
862,positive
863,negative
864,positive
865,negative
866,positive
867,negative
868,positive
869,negative
870,positive
871,negative
872,positive
873,negative
874,positive
875,negative
876,positive
877,negative
878,positive
879,negative
880,positive
881,negative
882,positive
883,negative
884,positive
885,negative
886,positive
887,negative
888,positive
889,negative
890,positive
891,negative
892,positive
893,negative
894,positive
895,negative
896,positive
897,negative
898,positive
899,negative
900,positive
901,negative
902,positive
903,negative
904,positive
905,negative
906,positive
907,negative
908,positive
909,negative
910,positive
911,negative
912,positive
913,negative
914,positive
915,negative
916,positive
917,negative
918,positive
919,negative
920,positive
921,negative
922,positive
923,negative
924,positive
925,negative
926,positive
927,negative
928,positive
929,negative
930,positive
931,negative
932,positive
933,negative
934,positive
935,negative
936,positive
937,negative
938,positive
939,negative
940,positive
941,negative
942,positive
943,negative
944,positive
945,negative
946,positive
947,negative
948,positive
949,negative
950,positive
951,negative
952,positive
953,negative
954,positive
955,negative
956,positive
957,negative
958,positive
959,negative
960,positive
961,negative
962,positive
963,negative
964,positive
965,negative
966,positive
967,negative
968,positive
969,negative
970,positive
971,negative
972,positive
973,negative
974,positive
975,negative
976,positive
977,negative
978,positive
979,negative
980,positive
981,negative
982,positive
983,negative
984,positive
985,negative
986,positive
987,negative
988,positive
989,negative
990,positive
991,negative
992,positive
993,negative
994,positive
995,negative
996,positive
997,negative
998,positive
999,negative
1000,positive
1001,negative
1002,positive
1003,negative
1004,positive
1005,negative
1006,positive
1007,negative
1008,positive
1009,negative
1010,positive
1011,negative
1012,positive
1013,negative
1014,positive
1015,negative
1016,positive
1017,negative
1018,positive
1019,negative
1020,positive
1021,negative
1022,positive
1023,negative
1024,positive
1025,negative
1026,positive
1027,negative
1028,positive
1029,negative
1030,positive
1031,negative
1032,positive
1033,negative
1034,positive
1035,negative
1036,positive
1037,negative
1038,positive
1039,negative
1040,positive
1041,negative
1042,positive
1043,negative
1044,positive
1045,negative
1046,positive
1047,negative
1048,positive
1049,negative
1050,positive
1051,negative
1052,positive
1053,negative
1054,positive
1055,negative
1056,positive
1057,negative
1058,positive
1059,negative
1060,positive
1061,negative
1062,positive
1063,negative
1064,positive
1065,negative
1066,positive
1067,negative
1068,positive
1069,negative
1070,positive
1071,negative
1072,positive
1073,negative
1074,positive
1075,negative
1076,positive
1077,negative
1078,positive
1079,negative
1080,positive
1081,negative
1082,positive
1083,negative
1084,positive
1085,negative
1086,positive
1087,negative
1088,positive
1089,negative
1090,positive
1091,negative
1092,positive
1093,negative
1094,positive
1095,negative
1096,positive
1097,negative
1098,positive
1099,negative
1100,positive
1101,negative
1102,positive
1103,negative
1104,positive
1105,negative
1106,positive
1107,negative
1108,positive
1109,negative
1110,positive
1111,negative
1112,positive
1113,negative
1114,positive
1115,negative
1116,positive
1117,negative
1118,positive
1119,negative
1120,positive
1121,negative
1122,positive
1123,negative
1124,positive
1125,negative
1126,positive
1127,negative
1128,positive
1129,negative
1130,positive
1131,negative
1132,positive
1133,negative
1134,positive
1135,negative
1136,positive
1137,negative
1138,positive
1139,negative
1140,positive
1141,negative
1142,positive
1143,negative
1144,positive
1145,negative
1146,positive
1147,negative
1148,positive
1149,negative
1150,positive
1151,negative
1152,positive
1153,negative
1154,positive
1155,negative
1156,positive
1157,negative
1158,positive
1159,negative
1160,positive
1161,negative
1162,positive
1163,negative
1164,positive
1165,negative
1166,positive
1167,negative
1168,positive
1169,negative
1170,positive
1171,negative
1172,positive
1173,negative
1174,positive
1175,negative
1176,positive
1177,negative
1178,positive
1179,negative
1180,positive
1181,negative
1182,positive
1183,negative
1184,positive
1185,negative
1186,positive
1187,negative
1188,positive
1189,negative
1190,positive
1191,negative
1192,positive
1193,negative
1194,positive
1195,negative
1196,positive
1197,negative
1198,positive
1199,negative
1200,positive
1201,negative
1202,positive
1203,negative
1204,positive
1205,negative
1206,positive
1207,negative
1208,positive
1209,negative
1210,positive
1211,negative
1212,positive
1213,negative
1214,positive
1215,negative
1216,positive
1217,negative
1218,positive
1219,negative
1220,positive
1221,negative
1222,positive
1223,negative
1224,positive
1225,negative
1226,positive
1227,negative
1228,positive
1229,negative
1230,positive
1231,negative
1232,positive
1233,negative
1234,positive
1235,negative
1236,positive
1237,negative
1238,positive
1239,negative
1240,positive
1241,negative
1242,positive
1243,negative
1244,positive
1245,negative
1246,positive
1247,negative
1248,positive
1249,negative
1250,positive
1251,negative
1252,positive
1253,negative
1254,positive
1255,negative
1256,positive
1257,negative
1258,positive
1259,negative
1260,positive
1261,negative
1262,positive
1263,negative
1264,positive
1265,negative
1266,positive
1267,negative
1268,positive
1269,negative
1270,positive
1271,negative
1272,positive
1273,negative
1274,positive
1275,negative
1276,positive
1277,negative
1278,positive
1279,negative
1280,positive
1281,negative
1282,positive
1283,negative
1284,positive
1285,negative
1286,positive
1287,negative
1288,positive
1289,negative
1290,positive
1291,negative
1292,positive
1293,negative
1294,positive
1295,negative
1296,positive
1297,negative
1298,positive
1299,negative
1300,positive
1301,negative
1302,positive
1303,negative
1304,positive
1305,negative
1306,positive
1307,negative
1308,positive
1309,negative
1310,positive
1311,negative
1312,positive
1313,negative
1314,positive
1315,negative
1316,positive
1317,negative
1318,positive
1319,negative
1320,positive
1321,negative
1322,positive
1323,negative
1324,positive
1325,negative
1326,positive
1327,negative
1328,positive
1329,negative
1330,positive
1331,negative
1332,positive
1333,negative
1334,positive
1335,negative
1336,positive
1337,negative
1338,positive
1339,negative
1340,positive
1341,negative
1342,positive
1343,negative
1344,positive
1345,negative
1346,positive
1347,negative
1348,positive
1349,negative
1350,positive
1351,negative
1352,positive
1353,negative
1354,positive
1355,negative
1356,positive
1357,negative
1358,positive
1359,negative
1360,positive
1361,negative
1362,positive
1363,negative
1364,positive
1365,negative
1366,positive
1367,negative
1368,positive
1369,negative
1370,positive
1371,negative
1372,positive
1373,negative
1374,positive
1375,negative
1376,positive
1377,negative
1378,positive
1379,negative
1380,positive
1381,negative
1382,positive
1383,negative
1384,positive
1385,negative
1386,positive
1387,negative
1388,positive
1389,negative
1390,positive
1391,negative
1392,positive
1393,negative
1394,positive
1395,negative
1396,positive
1397,negative
1398,positive
1399,negative
1400,positive
1401,negative
1402,positive
1403,negative
1404,positive
1405,negative
1406,positive
1407,negative
1408,positive
1409,negative
1410,positive
1411,negative
1412,positive
1413,negative
1414,positive
1415,negative
1416,positive
1417,negative
1418,positive
1419,negative
1420,positive
1421,negative
1422,positive
1423,negative
1424,positive
1425,negative
1426,positive
1427,negative
1428,positive
1429,negative
1430,positive
1431,negative
1432,positive
1433,negative
1434,positive
1435,negative
1436,positive
1437,negative
1438,positive
1439,negative
1440,positive
1441,negative
1442,positive
1443,negative
1444,positive
1445,negative
1446,positive
1447,negative
1448,positive
1449,negative
1450,positive
1451,negative
1452,positive
1453,negative
1454,positive
1455,negative
1456,positive
1457,negative
1458,positive
1459,negative
1460,positive
1461,negative
1462,positive
1463,negative
1464,positive
1465,negative
1466,positive
1467,negative
1468,positive
1469,negative
1470,positive
1471,negative
1472,positive
1473,negative
1474,positive
1475,negative
1476,positive
1477,negative
1478,positive
1479,negative
1480,positive
1481,negative
1482,positive
1483,negative
1484,positive
1485,negative
1486,positive
1487,negative
1488,positive
1489,negative
1490,positive
1491,negative
1492,positive
1493,negative
1494,positive
1495,negative
1496,positive
1497,negative
1498,positive
1499,negative
1500,positive
1501,negative
1502,positive
1503,negative
1504,positive
1505,negative
1506,positive
1507,negative
1508,positive
1509,negative
1510,positive
1511,negative
1512,positive
1513,negative
1514,positive
1515,negative
1516,positive
1517,negative
1518,positive
1519,negative
1520,positive
1521,negative
1522,positive
1523,negative
1524,positive
1525,negative
1526,positive
1527,negative
1528,positive
1529,negative
1530,positive
1531,negative
1532,positive
1533,negative
1534,positive
1535,negative
1536,positive
1537,negative
1538,positive
1539,negative
1540,positive
1541,negative
1542,positive
1543,negative
1544,positive
1545,negative
1546,positive
1547,negative
1548,positive
1549,negative
1550,positive
1551,negative
1552,positive
1553,negative
1554,positive
1555,negative
1556,positive
1557,negative
1558,positive
1559,negative
1560,positive
1561,negative
1562,positive
1563,negative
1564,positive
1565,negative
1566,positive
1567,negative
1568,positive
1569,negative
1570,positive
1571,negative
1572,positive
1573,negative
1574,positive
1575,negative
1576,positive
1577,negative
1578,positive
1579,negative
1580,positive
1581,negative
1582,positive
1583,negative
1584,positive
1585,negative
1586,positive
1587,negative
1588,positive
1589,negative
1590,positive
1591,negative
1592,positive
1593,negative
1594,positive
1595,negative
1596,positive
1597,negative
1598,positive
1599,negative
1600,positive
1601,negative
1602,positive
1603,negative
1604,positive
1605,negative
1606,positive
1607,negative
1608,positive
1609,negative
1610,positive
1611,negative
1612,positive
1613,negative
1614,positive
1615,negative
1616,positive
1617,negative
1618,positive
1619,negative
1620,positive
1621,negative
1622,positive
1623,negative
1624,positive
1625,negative
1626,positive
1627,negative
1628,positive
1629,negative
1630,positive
1631,negative
1632,positive
1633,negative
1634,positive
1635,negative
1636,positive
1637,negative
1638,positive
1639,negative
1640,positive
1641,negative
1642,positive
1643,negative
1644,positive
1645,negative
1646,positive
1647,negative
1648,positive
1649,negative
1650,positive
1651,negative
1652,positive
1653,negative
1654,positive
1655,negative
1656,positive
1657,negative
1658,positive
1659,negative
1660,positive
1661,negative
1662,positive
1663,negative
1664,positive
1665,negative
1666,positive
1667,negative
1668,positive
1669,negative
1670,positive
1671,negative
1672,positive
1673,negative
1674,positive
1675,negative
1676,positive
1677,negative
1678,positive
1679,negative
1680,positive
1681,negative
1682,positive
1683,negative
1684,positive
1685,negative
1686,positive
1687,negative
1688,positive
1689,negative
1690,positive
1691,negative
1692,positive
1693,negative
1694,positive
1695,negative
1696,positive
1697,negative
1698,positive
1699,negative
1700,positive
1701,negative
1702,positive
1703,negative
1704,positive
1705,negative
1706,positive
1707,negative
1708,positive
1709,negative
1710,positive
1711,negative
1712,positive
1713,negative
1714,positive
1715,negative
1716,positive
1717,negative
1718,positive
1719,negative
1720,positive
1721,negative
1722,positive
1723,negative
1724,positive
1725,negative
1726,positive
1727,negative
1728,positive
1729,negative
1730,positive
1731,negative
1732,positive
1733,negative
1734,positive
1735,negative
1736,positive
1737,negative
1738,positive
1739,negative
1740,positive
1741,negative
1742,positive
1743,negative
1744,positive
1745,negative
1746,positive
1747,negative
1748,positive
1749,negative
1750,positive
1751,negative
1752,positive
1753,negative
1754,positive
1755,negative
1756,positive
1757,negative
1758,positive
1759,negative
1760,positive
1761,negative
1762,positive
1763,negative
1764,positive
1765,negative
1766,positive
1767,negative
1768,positive
1769,negative
1770,positive
1771,negative
1772,positive
1773,negative
1774,positive
1775,negative
1776,positive
1777,negative
1778,positive
1779,negative
1780,positive
1781,negative
1782,positive
1783,negative
1784,positive
1785,negative
1786,positive
1787,negative
1788,positive
1789,negative
1790,positive
1791,negative
1792,positive
1793,negative
1794,positive
1795,negative
1796,positive
1797,negative
1798,positive
1799,negative
1800,positive
1801,negative
1802,positive
1803,negative
1804,positive
1805,negative
1806,positive
1807,negative
1808,positive
1809,negative
1810,positive
1811,negative
1812,positive
1813,negative
1814,positive
1815,negative
1816,positive
1817,negative
1818,positive
1819,negative
1820,positive
1821,negative
1822,positive
1823,negative
1824,positive
1825,negative
1826,positive
1827,negative
1828,positive
1829,negative
1830,positive
1831,negative
1832,positive
1833,negative
1834,positive
1835,negative
1836,positive
1837,negative
1838,positive
1839,negative
1840,positive
1841,negative
1842,positive
1843,negative
1844,positive
1845,negative
1846,positive
1847,negative
1848,positive
1849,negative
1850,positive
1851,negative
1852,positive
1853,negative
1854,positive
1855,negative
1856,positive
1857,negative
1858,positive
1859,negative
1860,positive
1861,negative
1862,positive
1863,negative
1864,positive
1865,negative
1866,positive
1867,negative
1868,positive
1869,negative
1870,positive
1871,negative
1872,positive
1873,negative
1874,positive
1875,negative
1876,positive
1877,negative
1878,positive
1879,negative
1880,positive
1881,negative
1882,positive
1883,negative
1884,positive
1885,negative
1886,positive
1887,negative
1888,positive
1889,negative
1890,positive
1891,negative
1892,positive
1893,negative
1894,positive
1895,negative
1896,positive
1897,negative
1898,positive
1899,negative
1900,positive
1901,negative
1902,positive
1903,negative
1904,positive
1905,negative
1906,positive
1907,negative
1908,positive
1909,negative
1910,positive
1911,negative
1912,positive
1913,negative
1914,positive
1915,negative
1916,positive
1917,negative
1918,positive
1919,negative
1920,positive
1921,negative
1922,positive
1923,negative
1924,positive
1925,negative
1926,positive
1927,negative
1928,positive
1929,negative
1930,positive
1931,negative
1932,positive
1933,negative
1934,positive
1935,negative
1936,positive
1937,negative
1938,positive
1939,negative
1940,positive
1941,negative
1942,positive
1943,negative
1944,positive
1945,negative
1946,positive
1947,negative
1948,positive
1949,negative
1950,positive
1951,negative
1952,positive
1953,negative
1954,positive
1955,negative
1956,positive
1957,negative
1958,positive
1959,negative
1960,positive
1961,negative
1962,positive
1963,negative
1964,positive
1965,negative
1966,positive
1967,negative
1968,positive
1969,negative
1970,positive
1971,negative
1972,positive
1973,negative
1974,positive
1975,negative
1976,positive
1977,negative
1978,positive
1979,negative
1980,positive
1981,negative
1982,positive
1983,negative
1984,positive
1985,negative
1986,positive
1987,negative
1988,positive
1989,negative
1990,positive
1991,negative
1992,positive
1993,negative
1994,positive
1995,negative
1996,positive
1997,negative
1998,positive
1999,negative
2000,positive
2001,negative
2002,positive
2003,negative
2004,positive
2005,negative
2006,positive
2007,negative
2008,positive
2009,negative
2010,positive
2011,negative
2012,positive
2013,negative
2014,positive
2015,negative
2016,positive
2017,negative
2018,positive
2019,negative
2020,positive
2021,negative
2022,positive
2023,negative
2024,positive
2025,negative
2026,positive
2027,negative
2028,positive
2029,negative
2030,positive
2031,negative
2032,positive
2033,negative
2034,positive
2035,negative
2036,positive
2037,negative
2038,positive
2039,negative
2040,positive
2041,negative
2042,positive
2043,negative
2044,positive
2045,negative
2046,positive
2047,negative
2048,positive
2049,negative
2050,positive
2051,negative
2052,positive
2053,negative
2054,positive
2055,negative
2056,positive
2057,negative
2058,positive
2059,negative
2060,positive
2061,negative
2062,positive
2063,negative
2064,positive
2065,negative
2066,positive
2067,negative
2068,positive
2069,negative
2070,positive
2071,negative
2072,positive
2073,negative
2074,positive
2075,negative
2076,positive
2077,negative
2078,positive
2079,negative
2080,positive
2081,negative
2082,positive
2083,negative
2084,positive
2085,negative
2086,positive
2087,negative
2088,positive
2089,negative
2090,positive
2091,negative
2092,positive
2093,negative
2094,positive
2095,negative
2096,positive
2097,negative
2098,positive
2099,negative
2100,positive
2101,negative
2102,positive
2103,negative
2104,positive
2105,negative
2106,positive
2107,negative
2108,positive
2109,negative
2110,positive
2111,negative
2112,positive
2113,negative
2114,positive
2115,negative
2116,positive
2117,negative
2118,positive
2119,negative
2120,positive
2121,negative
2122,positive
2123,negative
2124,positive
2125,negative
2126,positive
2127,negative
2128,positive
2129,negative
2130,positive
2131,negative
2132,positive
2133,negative
2134,positive
2135,negative
2136,positive
2137,negative
2138,positive
2139,negative
2140,positive
2141,negative
2142,positive
2143,negative
2144,positive
2145,negative
2146,positive
2147,negative
2148,positive
2149,negative
2150,positive
2151,negative
2152,positive
2153,negative
2154,positive
2155,negative
2156,positive
2157,negative
2158,positive
2159,negative
2160,positive
2161,negative
2162,positive
2163,negative
2164,positive
2165,negative
2166,positive
2167,negative
2168,positive
2169,negative
2170,positive
2171,negative
2172,positive
2173,negative
2174,positive
2175,negative
2176,positive
2177,negative
2178,positive
2179,negative
2180,positive
2181,negative
2182,positive
2183,negative
2184,positive
2185,negative
2186,positive
2187,negative
2188,positive
2189,negative
2190,positive
2191,negative
2192,positive
2193,negative
2194,positive
2195,negative
2196,positive
2197,negative
2198,positive
2199,negative
2200,positive
2201,negative
2202,positive
2203,negative
2204,positive
2205,negative
2206,positive
2207,negative
2208,positive
2209,negative
2210,positive
2211,negative
2212,positive
2213,negative
2214,positive
2215,negative
2216,positive
2217,negative
2218,positive
2219,negative
2220,positive
2221,negative
2222,positive
2223,negative
2224,positive
2225,negative
2226,positive
2227,negative
2228,positive
2229,negative
2230,positive
2231,negative
2232,positive
2233,negative
2234,positive
2235,negative
2236,positive
2237,negative
2238,positive
2239,negative
2240,positive
2241,negative
2242,positive
2243,negative
2244,positive
2245,negative
2246,positive
2247,negative
2248,positive
2249,negative
2250,positive
2251,negative
2252,positive
2253,negative
2254,positive
2255,negative
2256,positive
2257,negative
2258,positive
2259,negative
2260,positive
2261,negative
2262,positive
2263,negative
2264,positive
2265,negative
2266,positive
2267,negative
2268,positive
2269,negative
2270,positive
2271,negative
2272,positive
2273,negative
2274,positive
2275,negative
2276,positive
2277,negative
2278,positive
2279,negative
2280,positive
2281,negative
2282,positive
2283,negative
2284,positive
2285,negative
2286,positive
2287,negative
2288,positive
2289,negative
2290,positive
2291,negative
2292,positive
2293,negative
2294,positive
2295,negative
2296,positive
2297,negative
2298,positive
2299,negative
2300,positive
2301,negative
2302,positive
2303,negative
2304,positive
2305,negative
2306,positive
2307,negative
2308,positive
2309,negative
2310,positive
2311,negative
2312,positive
2313,negative
2314,positive
2315,negative
2316,positive
2317,negative
2318,positive
2319,negative
2320,positive
2321,negative
2322,positive
2323,negative
2324,positive
2325,negative
2326,positive
2327,negative
2328,positive
2329,negative
2330,positive
2331,negative
2332,positive
2333,negative
2334,positive
2335,negative
2336,positive
2337,negative
2338,positive
2339,negative
2340,positive
2341,negative
2342,positive
2343,negative
2344,positive
2345,negative
2346,positive
2347,negative
2348,positive
2349,negative
2350,positive
2351,negative
2352,positive
2353,negative
2354,positive
2355,negative
2356,positive
2357,negative
2358,positive
2359,negative
2360,positive
2361,negative
2362,positive
2363,negative
2364,positive
2365,negative
2366,positive
2367,negative
2368,positive
2369,negative
2370,positive
2371,negative
2372,positive
2373,negative
2374,positive
2375,negative
2376,positive
2377,negative
2378,positive
2379,negative
2380,positive
2381,negative
2382,positive
2383,negative
2384,positive
2385,negative
2386,positive
2387,negative
2388,positive
2389,negative
2390,positive
2391,negative
2392,positive
2393,negative
2394,positive
2395,negative
2396,positive
2397,negative
2398,positive
2399,negative
2400,positive
2401,negative
2402,positive
2403,negative
2404,positive
2405,negative
2406,positive
2407,negative
2408,positive
2409,negative
2410,positive
2411,negative
2412,positive
2413,negative
2414,positive
2415,negative
2416,positive
2417,negative
2418,positive
2419,negative
2420,positive
2421,negative
2422,positive
2423,negative
2424,positive
2425,negative
2426,positive
2427,negative
2428,positive
2429,negative
2430,positive
2431,negative
2432,positive
2433,negative
2434,positive
2435,negative
2436,positive
2437,negative
2438,positive
2439,negative
2440,positive
2441,negative
2442,positive
2443,negative
2444,positive
2445,negative
2446,positive
2447,negative
2448,positive
2449,negative
2450,positive
2451,negative
2452,positive
2453,negative
2454,positive
2455,negative
2456,positive
2457,negative
2458,positive
2459,negative
2460,positive
2461,negative
2462,positive
2463,negative
2464,positive
2465,negative
2466,positive
2467,negative
2468,positive
2469,negative
2470,positive
2471,negative
2472,positive
2473,negative
2474,positive
2475,negative
2476,positive
2477,negative
2478,positive
2479,negative
2480,positive
2481,negative
2482,positive
2483,negative
2484,positive
2485,negative
2486,positive
2487,negative
2488,positive
2489,negative
2490,positive
2491,negative
2492,positive
2493,negative
2494,positive
2495,negative
2496,positive
2497,negative
2498,positive
